ds,y,yhat,store,item
2017-11-03,79,68.4121330852193,5,10
2017-11-04,84,71.94243263070304,5,10
2017-11-05,93,75.65180910760817,5,10
2017-11-06,48,53.72290005174013,5,10
2017-11-07,60,61.46233608889014,5,10
2017-11-08,54,62.24424742260113,5,10
2017-11-09,66,66.07540128154969,5,10
2017-11-10,92,70.12025916870493,5,10
2017-11-11,88,73.3343587257773,5,10
2017-11-12,81,76.69017599030926,5,10
2017-11-13,50,54.37476603777964,5,10
2017-11-14,50,61.69977080861514,5,10
2017-11-15,55,62.04483970886688,5,10
2017-11-16,58,65.42267055230216,5,10
2017-11-17,65,69.00396170805088,5,10
2017-11-18,80,71.750682488869,5,10
2017-11-19,73,74.64181992560063,5,10
2017-11-20,46,51.87090237951576,5,10
2017-11-21,60,58.75589128208354,5,10
2017-11-22,65,58.682489054046805,5,10
2017-11-23,63,61.66907314829396,5,10
2017-11-24,82,64.89154931459943,5,10
2017-11-25,63,67.31653316168189,5,10
2017-11-26,79,69.92701995991249,5,10
2017-11-27,55,46.919844651236204,5,10
2017-11-28,60,53.61552455492898,5,10
2017-11-29,56,53.401533677206615,5,10
2017-11-30,84,56.29721906702471,5,10
2017-12-01,61,59.47865244654564,5,10
2017-12-02,52,61.91182595711091,5,10
2017-12-03,54,64.57835137493066,5,10
2017-12-04,33,41.67296383669813,5,10
2017-12-05,37,48.51342133161046,5,10
2017-12-06,32,48.48384735872447,5,10
2017-12-07,43,51.59972545311351,5,10
2017-12-08,55,55.032836882545624,5,10
2017-12-09,58,57.74454829249441,5,10
2017-12-10,40,60.71160650775321,5,10
2017-12-11,50,38.12373935573169,5,10
2017-12-12,44,45.293651615577346,5,10
2017-12-13,49,45.60046141786363,5,10
2017-12-14,41,49.05478384816995,5,10
2017-12-15,48,52.82375127652769,5,10
2017-12-16,38,55.86437562111338,5,10
2017-12-17,58,59.149408426218265,5,10
2017-12-18,32,36.86499656206907,5,10
2017-12-19,47,44.320721878797094,5,10
2017-12-20,45,44.89306966595039,5,10
2017-12-21,47,48.59053249786107,5,10
2017-12-22,59,52.57863910731921,5,10
2017-12-23,49,55.81331389872127,5,10
2017-12-24,61,59.266723644011435,5,10
2017-12-25,43,37.12491006554909,5,10
2017-12-26,47,44.697797737070275,5,10
2017-12-27,53,45.36262341797524,5,10
2017-12-28,42,49.128994787821256,5,10
2017-12-29,49,53.163869694494934,5,10
2017-12-30,53,56.42486303408171,5,10
2017-12-31,50,59.88603931085568,5,10
2017-10-03,84,96.9848054385268,10,25
2017-10-04,79,97.0007742331246,10,25
2017-10-05,84,101.97704408507795,10,25
2017-10-06,110,108.46689976310572,10,25
2017-10-07,110,113.56922326545036,10,25
2017-10-08,141,120.13419205082884,10,25
2017-10-09,82,82.5494640224887,10,25
2017-10-10,115,94.69526359437597,10,25
2017-10-11,80,94.55135370329204,10,25
2017-10-12,107,99.39957068609753,10,25
2017-10-13,110,105.80106233938011,10,25
2017-10-14,97,110.86188853325913,10,25
2017-10-15,110,117.438483020041,10,25
2017-10-16,71,79.92361964231361,10,25
2017-10-17,92,92.20130371346171,10,25
2017-10-18,78,92.25357934605577,10,25
2017-10-19,92,97.36293485450855,10,25
2017-10-20,122,104.08945090493891,10,25
2017-10-21,116,109.5363541508916,10,25
2017-10-22,128,116.55547727344982,10,25
2017-10-23,79,79.5332697378422,10,25
2017-10-24,91,92.34577993259217,10,25
2017-10-25,111,92.96559812956535,10,25
2017-10-26,84,98.66443984533821,10,25
2017-10-27,124,105.99051057076336,10,25
2017-10-28,116,112.03430982803704,10,25
2017-10-29,121,119.63436973108003,10,25
2017-10-30,67,83.16356579993487,10,25
2017-10-31,79,96.4844134736128,10,25
2017-11-01,108,97.55633206542936,10,25
2017-11-02,114,103.63854776768359,10,25
2017-11-03,117,111.2677686268008,10,25
2017-11-04,118,117.52428154288185,10,25
2017-11-05,126,125.23795890680435,10,25
2017-11-06,90,88.77480560998511,10,25
2017-11-07,97,101.99245358882062,10,25
2017-11-08,106,102.84758026720134,10,25
2017-11-09,102,108.5989181701296,10,25
2017-11-10,111,115.78498546658471,10,25
2017-11-11,134,121.49018558618083,10,25
2017-11-12,122,128.5507629316121,10,25
2017-11-13,80,91.34124616524967,10,25
2017-11-14,108,103.72978830156968,10,25
2017-11-15,112,103.68538331670194,10,25
2017-11-16,94,108.48063109381002,10,25
2017-11-17,120,114.66918609412758,10,25
2017-11-18,121,119.35154447520151,10,25
2017-11-19,116,125.38066403524427,10,25
2017-11-20,82,87.14805641409313,10,25
2017-11-21,112,98.53876912469262,10,25
2017-11-22,108,97.53824565062648,10,25
2017-11-23,91,101.43474391569227,10,25
2017-11-24,109,106.79645674932256,10,25
2017-11-25,115,110.73699684384309,10,25
2017-11-26,126,116.12074769732361,10,25
2017-11-27,87,77.34872624993147,10,25
2017-11-28,112,88.31338007148473,10,25
2017-11-29,99,87.00531149246513,10,25
2017-11-30,119,90.71561191539213,10,25
2017-12-01,61,96.01295156398493,10,25
2017-12-02,88,100.00908746921333,10,25
2017-12-03,93,105.56429015826961,10,25
2017-12-04,46,67.07333242680829,10,25
2017-12-05,78,78.42045949959297,10,25
2017-12-06,76,77.5863282840817,10,25
2017-12-07,62,81.85059326927282,10,25
2017-12-08,84,87.76927779242243,10,25
2017-12-09,65,92.44058626439616,10,25
2017-12-10,92,98.71065012983415,10,25
2017-12-11,65,60.95984297254323,10,25
2017-12-12,60,73.05807602605744,10,25
2017-12-13,61,72.97205388650963,10,25
2017-12-14,86,77.96816040755763,10,25
2017-12-15,86,84.59010645614879,10,25
2017-12-16,82,89.92498878103767,10,25
2017-12-17,99,96.80924728778075,10,25
2017-12-18,66,59.61515164114807,10,25
2017-12-19,82,72.20622505552936,10,25
2017-12-20,69,72.54458283830675,10,25
2017-12-21,78,77.8938546411705,10,25
2017-12-22,67,84.79682228739686,10,25
2017-12-23,86,90.3414238098435,10,25
2017-12-24,82,97.36661351231292,10,25
2017-12-25,74,60.24871254443772,10,25
2017-12-26,56,72.85666236077545,10,25
2017-12-27,65,73.15916394354491,10,25
2017-12-28,72,78.427377704434,10,25
2017-12-29,93,85.21232237615772,10,25
2017-12-30,73,90.61063026388393,10,25
2017-12-31,97,97.47015552014058,10,25
